timestamp_utc,lead_hour,SUB_PANCHGANGA_LOWER_mm_hr,SUB_KUMBHI_MID_mm_hr,SUB_KASARI_UPPER_mm_hr,SUB_GHATS_UPPER_mm_hr,SUB_BHOGAWATI_MID_mm_hr,SUB_TULSHI_CONFLUENCE_mm_hr,SUB_RADHANAGARI_DAM_mm_hr
2026-08-30 18:30:00,0,0.1,0.1,0.0,0.5,0.2,0.1,0.3
2026-08-30 19:30:00,1,0.0,0.1,0.1,0.3,0.2,0.0,0.3
2026-08-30 20:30:00,2,0.0,0.1,0.1,0.5,0.2,0.1,0.3
2026-08-30 21:30:00,3,0.1,0.1,0.1,0.6,0.3,0.1,0.2
2026-08-30 22:30:00,4,0.1,0.1,0.1,0.5,0.3,0.1,0.5
2026-08-30 23:30:00,5,0.1,0.1,0.0,0.8,0.3,0.1,0.8
2026-08-31 00:30:00,6,0.2,0.2,0.1,0.6,0.4,0.1,0.5
2026-08-31 01:30:00,7,0.2,0.2,0.1,1.3,0.6,0.2,0.6
2026-08-31 02:30:00,8,0.2,0.3,0.4,1.5,0.5,0.2,0.7
2026-08-31 03:30:00,9,0.1,0.2,0.2,0.6,0.3,0.2,0.5
2026-08-31 04:30:00,10,0.1,0.1,0.1,0.5,0.3,0.3,0.5
2026-08-31 05:30:00,11,0.0,0.1,0.3,1.2,0.3,0.1,1.1
2026-08-31 06:30:00,12,0.1,0.1,0.1,0.5,0.3,0.1,0.9
2026-08-31 07:30:00,13,0.0,0.1,0.0,0.2,0.2,0.1,0.4
2026-08-31 08:30:00,14,0.0,0.0,0.0,0.2,0.1,0.0,0.3
2026-08-31 09:30:00,15,0.0,0.0,0.0,0.2,0.1,0.0,0.2
2026-08-31 10:30:00,16,0.0,0.0,0.0,0.3,0.1,0.0,0.1
2026-08-31 11:30:00,17,0.0,0.0,0.0,0.3,0.1,0.0,0.1
2026-08-31 12:30:00,18,0.0,0.0,0.0,0.2,0.1,0.0,0.2
2026-08-31 13:30:00,19,0.1,0.0,0.0,0.1,0.1,0.0,0.2
2026-08-31 14:30:00,20,0.1,0.0,0.0,0.3,0.2,0.0,0.4
2026-08-31 15:30:00,21,0.1,0.1,0.1,0.8,0.3,0.0,0.4
2026-08-31 16:30:00,22,0.1,0.0,0.1,0.3,0.1,0.0,0.4
2026-08-31 17:30:00,23,0.0,0.0,0.0,0.1,0.1,0.0,0.3
2026-08-31 18:30:00,24,0.0,0.0,0.0,0.1,0.0,0.0,0.1
2026-08-31 19:30:00,25,0.0,0.0,0.0,0.3,0.2,0.0,0.1
2026-08-31 20:30:00,26,0.0,0.0,0.0,0.1,0.1,0.0,0.0
2026-08-31 21:30:00,27,0.0,0.0,0.0,0.2,0.0,0.0,0.1
2026-08-31 22:30:00,28,0.0,0.0,0.0,0.4,0.1,0.0,0.2
2026-08-31 23:30:00,29,0.2,0.3,0.1,0.7,0.4,0.2,0.5
2026-09-01 00:30:00,30,0.4,0.5,0.2,1.1,0.5,0.4,0.7
2026-09-01 01:30:00,31,0.1,0.4,0.3,1.0,1.0,0.5,1.4
2026-09-01 02:30:00,32,0.3,0.4,0.6,0.6,0.8,0.4,0.7
2026-09-01 03:30:00,33,0.2,0.3,0.7,0.6,0.6,0.4,0.7
2026-09-01 04:30:00,34,0.2,0.2,0.5,0.7,0.3,0.3,1.1
2026-09-01 05:30:00,35,0.1,0.2,0.3,1.1,0.4,0.1,0.1
2026-09-01 06:30:00,36,0.1,0.1,0.1,0.4,0.2,0.1,0.4
2026-09-01 07:30:00,37,0.0,0.0,0.0,0.4,0.1,0.0,0.2
2026-09-01 08:30:00,38,0.0,0.0,0.0,0.6,0.2,0.0,0.2
2026-09-01 09:30:00,39,0.0,0.0,0.0,0.2,0.0,0.0,0.2
2026-09-01 10:30:00,40,0.0,0.0,0.0,0.3,0.1,0.0,0.1
2026-09-01 11:30:00,41,0.0,0.0,0.0,0.2,0.0,0.0,0.3
2026-09-01 12:30:00,42,0.0,0.0,0.0,0.3,0.1,0.0,0.2
2026-09-01 13:30:00,43,0.0,0.0,0.0,0.3,0.1,0.0,0.1
2026-09-01 14:30:00,44,0.0,0.0,0.1,0.5,0.1,0.0,0.2
2026-09-01 15:30:00,45,0.0,0.0,0.0,0.3,0.1,0.0,0.2
2026-09-01 16:30:00,46,0.0,0.0,0.0,0.4,0.1,0.0,0.2
2026-09-01 17:30:00,47,0.0,0.0,0.0,0.4,0.1,0.0,0.1
2026-09-01 18:30:00,48,0.0,0.0,0.1,0.5,0.1,0.0,0.1
2026-09-01 19:30:00,49,0.0,0.0,0.0,0.3,0.1,0.0,0.0
2026-09-01 20:30:00,50,0.0,0.0,0.0,0.2,0.1,0.0,0.1
2026-09-01 21:30:00,51,0.0,0.0,0.0,0.2,0.1,0.0,0.2
2026-09-01 22:30:00,52,0.0,0.0,0.0,0.4,0.2,0.0,0.1
2026-09-01 23:30:00,53,0.0,0.1,0.1,0.8,0.3,0.1,0.3
2026-09-02 00:30:00,54,0.1,0.2,0.1,0.8,0.5,0.2,0.5
2026-09-02 01:30:00,55,0.2,0.4,0.3,1.1,0.7,0.5,1.2
2026-09-02 02:30:00,56,0.3,0.3,0.6,0.7,0.7,0.5,0.6
2026-09-02 03:30:00,57,0.1,0.6,0.9,1.0,0.9,0.3,0.7
2026-09-02 04:30:00,58,0.2,0.3,0.6,1.4,0.6,0.3,1.3
2026-09-02 05:30:00,59,0.1,0.3,0.3,1.8,0.7,0.3,1.2
2026-09-02 06:30:00,60,0.1,0.2,0.2,1.0,0.6,0.2,0.9
2026-09-02 07:30:00,61,0.0,0.1,0.1,0.7,0.4,0.1,0.5
2026-09-02 08:30:00,62,0.0,0.1,0.1,0.9,0.3,0.1,0.6
2026-09-02 09:30:00,63,0.0,0.1,0.1,0.7,0.2,0.1,0.5
2026-09-02 10:30:00,64,0.0,0.1,0.1,0.6,0.3,0.0,0.5
2026-09-02 11:30:00,65,0.0,0.0,0.0,0.4,0.1,0.0,0.3
2026-09-02 12:30:00,66,0.0,0.0,0.0,0.2,0.1,0.0,0.2
2026-09-02 13:30:00,67,0.0,0.0,0.0,0.2,0.0,0.0,0.2
2026-09-02 14:30:00,68,0.0,0.0,0.0,0.2,0.2,0.0,0.2
2026-09-02 15:30:00,69,0.0,0.1,0.0,0.3,0.2,0.0,0.2
2026-09-02 16:30:00,70,0.0,0.1,0.1,0.6,0.4,0.1,0.3
2026-09-02 17:30:00,71,0.0,0.0,0.0,0.4,0.1,0.0,0.1
2026-09-02 18:30:00,72,0.0,0.0,0.0,0.4,0.0,0.0,0.2
2026-09-02 19:30:00,73,0.0,0.0,0.0,0.4,0.1,0.0,0.2
2026-09-02 20:30:00,74,0.0,0.1,0.1,0.8,0.4,0.0,0.3
2026-09-02 21:30:00,75,0.0,0.1,0.1,0.6,0.4,0.1,0.3
2026-09-02 22:30:00,76,0.0,0.0,0.0,0.4,0.3,0.0,0.4
2026-09-02 23:30:00,77,0.2,0.1,0.1,0.9,0.4,0.1,0.5
2026-09-03 00:30:00,78,0.4,0.3,0.4,1.2,0.5,0.2,0.6
2026-09-03 01:30:00,79,0.2,0.2,0.3,0.9,0.4,0.6,0.8
2026-09-03 02:30:00,80,0.2,0.6,0.5,2.1,1.3,1.0,1.1
2026-09-03 03:30:00,81,0.5,0.3,0.6,2.3,0.4,0.2,0.8
2026-09-03 04:30:00,82,0.3,0.2,0.3,0.9,0.5,0.3,0.7
2026-09-03 05:30:00,83,0.0,0.1,0.0,0.6,0.3,0.2,0.8
2026-09-03 06:30:00,84,0.0,0.1,0.1,1.0,0.2,0.1,0.3
2026-09-03 07:30:00,85,0.0,0.0,0.1,0.7,0.1,0.0,0.4
2026-09-03 08:30:00,86,0.0,0.0,0.1,0.8,0.2,0.0,0.5
2026-09-03 09:30:00,87,0.0,0.0,0.1,0.5,0.2,0.0,0.3
2026-09-03 10:30:00,88,0.0,0.1,0.1,0.9,0.2,0.0,0.5
2026-09-03 11:30:00,89,0.0,0.1,0.1,1.0,0.4,0.1,0.3
