# HEC-DSSVue Tabular Rainfall Import Format
# Basin: PANCHGANGA | Generated: 2026-08-31T12:20:40.187360+00:00

PATHNAME: /PANCHGANGA/SUB_PANCHGANGA_LOWER_CENTROID/PRECIP-INC/30AUG2026/1HOUR/OPENMETEO-V1/
UNITS: MM
TYPE: INST-VAL
INTERVAL: 1HOUR
DATE,TIME,VALUE
30AUG2026,18:30:00,0.10
30AUG2026,19:30:00,0.00
30AUG2026,20:30:00,0.00
30AUG2026,21:30:00,0.10
30AUG2026,22:30:00,0.10
30AUG2026,23:30:00,0.10
31AUG2026,00:30:00,0.20
31AUG2026,01:30:00,0.20
31AUG2026,02:30:00,0.20
31AUG2026,03:30:00,0.10
31AUG2026,04:30:00,0.10
31AUG2026,05:30:00,0.00
31AUG2026,06:30:00,0.10
31AUG2026,07:30:00,0.00
31AUG2026,08:30:00,0.00
31AUG2026,09:30:00,0.00
31AUG2026,10:30:00,0.00
31AUG2026,11:30:00,0.00
31AUG2026,12:30:00,0.00
31AUG2026,13:30:00,0.10
31AUG2026,14:30:00,0.10
31AUG2026,15:30:00,0.10
31AUG2026,16:30:00,0.10
31AUG2026,17:30:00,0.00
31AUG2026,18:30:00,0.00
31AUG2026,19:30:00,0.00
31AUG2026,20:30:00,0.00
31AUG2026,21:30:00,0.00
31AUG2026,22:30:00,0.00
31AUG2026,23:30:00,0.20
01SEP2026,00:30:00,0.40
01SEP2026,01:30:00,0.10
01SEP2026,02:30:00,0.30
01SEP2026,03:30:00,0.20
01SEP2026,04:30:00,0.20
01SEP2026,05:30:00,0.10
01SEP2026,06:30:00,0.10
01SEP2026,07:30:00,0.00
01SEP2026,08:30:00,0.00
01SEP2026,09:30:00,0.00
01SEP2026,10:30:00,0.00
01SEP2026,11:30:00,0.00
01SEP2026,12:30:00,0.00
01SEP2026,13:30:00,0.00
01SEP2026,14:30:00,0.00
01SEP2026,15:30:00,0.00
01SEP2026,16:30:00,0.00
01SEP2026,17:30:00,0.00
01SEP2026,18:30:00,0.00
01SEP2026,19:30:00,0.00
01SEP2026,20:30:00,0.00
01SEP2026,21:30:00,0.00
01SEP2026,22:30:00,0.00
01SEP2026,23:30:00,0.00
02SEP2026,00:30:00,0.10
02SEP2026,01:30:00,0.20
02SEP2026,02:30:00,0.30
02SEP2026,03:30:00,0.10
02SEP2026,04:30:00,0.20
02SEP2026,05:30:00,0.10
02SEP2026,06:30:00,0.10
02SEP2026,07:30:00,0.00
02SEP2026,08:30:00,0.00
02SEP2026,09:30:00,0.00
02SEP2026,10:30:00,0.00
02SEP2026,11:30:00,0.00
02SEP2026,12:30:00,0.00
02SEP2026,13:30:00,0.00
02SEP2026,14:30:00,0.00
02SEP2026,15:30:00,0.00
02SEP2026,16:30:00,0.00
02SEP2026,17:30:00,0.00
02SEP2026,18:30:00,0.00
02SEP2026,19:30:00,0.00
02SEP2026,20:30:00,0.00
02SEP2026,21:30:00,0.00
02SEP2026,22:30:00,0.00
02SEP2026,23:30:00,0.20
03SEP2026,00:30:00,0.40
03SEP2026,01:30:00,0.20
03SEP2026,02:30:00,0.20
03SEP2026,03:30:00,0.50
03SEP2026,04:30:00,0.30
03SEP2026,05:30:00,0.00
03SEP2026,06:30:00,0.00
03SEP2026,07:30:00,0.00
03SEP2026,08:30:00,0.00
03SEP2026,09:30:00,0.00
03SEP2026,10:30:00,0.00
03SEP2026,11:30:00,0.00

PATHNAME: /PANCHGANGA/SUB_KUMBHI_MID_CENTROID/PRECIP-INC/30AUG2026/1HOUR/OPENMETEO-V1/
UNITS: MM
TYPE: INST-VAL
INTERVAL: 1HOUR
DATE,TIME,VALUE
30AUG2026,18:30:00,0.10
30AUG2026,19:30:00,0.10
30AUG2026,20:30:00,0.10
30AUG2026,21:30:00,0.10
30AUG2026,22:30:00,0.10
30AUG2026,23:30:00,0.10
31AUG2026,00:30:00,0.20
31AUG2026,01:30:00,0.20
31AUG2026,02:30:00,0.30
31AUG2026,03:30:00,0.20
31AUG2026,04:30:00,0.10
31AUG2026,05:30:00,0.10
31AUG2026,06:30:00,0.10
31AUG2026,07:30:00,0.10
31AUG2026,08:30:00,0.00
31AUG2026,09:30:00,0.00
31AUG2026,10:30:00,0.00
31AUG2026,11:30:00,0.00
31AUG2026,12:30:00,0.00
31AUG2026,13:30:00,0.00
31AUG2026,14:30:00,0.00
31AUG2026,15:30:00,0.10
31AUG2026,16:30:00,0.00
31AUG2026,17:30:00,0.00
31AUG2026,18:30:00,0.00
31AUG2026,19:30:00,0.00
31AUG2026,20:30:00,0.00
31AUG2026,21:30:00,0.00
31AUG2026,22:30:00,0.00
31AUG2026,23:30:00,0.30
01SEP2026,00:30:00,0.50
01SEP2026,01:30:00,0.40
01SEP2026,02:30:00,0.40
01SEP2026,03:30:00,0.30
01SEP2026,04:30:00,0.20
01SEP2026,05:30:00,0.20
01SEP2026,06:30:00,0.10
01SEP2026,07:30:00,0.00
01SEP2026,08:30:00,0.00
01SEP2026,09:30:00,0.00
01SEP2026,10:30:00,0.00
01SEP2026,11:30:00,0.00
01SEP2026,12:30:00,0.00
01SEP2026,13:30:00,0.00
01SEP2026,14:30:00,0.00
01SEP2026,15:30:00,0.00
01SEP2026,16:30:00,0.00
01SEP2026,17:30:00,0.00
01SEP2026,18:30:00,0.00
01SEP2026,19:30:00,0.00
01SEP2026,20:30:00,0.00
01SEP2026,21:30:00,0.00
01SEP2026,22:30:00,0.00
01SEP2026,23:30:00,0.10
02SEP2026,00:30:00,0.20
02SEP2026,01:30:00,0.40
02SEP2026,02:30:00,0.30
02SEP2026,03:30:00,0.60
02SEP2026,04:30:00,0.30
02SEP2026,05:30:00,0.30
02SEP2026,06:30:00,0.20
02SEP2026,07:30:00,0.10
02SEP2026,08:30:00,0.10
02SEP2026,09:30:00,0.10
02SEP2026,10:30:00,0.10
02SEP2026,11:30:00,0.00
02SEP2026,12:30:00,0.00
02SEP2026,13:30:00,0.00
02SEP2026,14:30:00,0.00
02SEP2026,15:30:00,0.10
02SEP2026,16:30:00,0.10
02SEP2026,17:30:00,0.00
02SEP2026,18:30:00,0.00
02SEP2026,19:30:00,0.00
02SEP2026,20:30:00,0.10
02SEP2026,21:30:00,0.10
02SEP2026,22:30:00,0.00
02SEP2026,23:30:00,0.10
03SEP2026,00:30:00,0.30
03SEP2026,01:30:00,0.20
03SEP2026,02:30:00,0.60
03SEP2026,03:30:00,0.30
03SEP2026,04:30:00,0.20
03SEP2026,05:30:00,0.10
03SEP2026,06:30:00,0.10
03SEP2026,07:30:00,0.00
03SEP2026,08:30:00,0.00
03SEP2026,09:30:00,0.00
03SEP2026,10:30:00,0.10
03SEP2026,11:30:00,0.10

PATHNAME: /PANCHGANGA/SUB_KASARI_UPPER_CENTROID/PRECIP-INC/30AUG2026/1HOUR/OPENMETEO-V1/
UNITS: MM
TYPE: INST-VAL
INTERVAL: 1HOUR
DATE,TIME,VALUE
30AUG2026,18:30:00,0.00
30AUG2026,19:30:00,0.10
30AUG2026,20:30:00,0.10
30AUG2026,21:30:00,0.10
30AUG2026,22:30:00,0.10
30AUG2026,23:30:00,0.00
31AUG2026,00:30:00,0.10
31AUG2026,01:30:00,0.10
31AUG2026,02:30:00,0.40
31AUG2026,03:30:00,0.20
31AUG2026,04:30:00,0.10
31AUG2026,05:30:00,0.30
31AUG2026,06:30:00,0.10
31AUG2026,07:30:00,0.00
31AUG2026,08:30:00,0.00
31AUG2026,09:30:00,0.00
31AUG2026,10:30:00,0.00
31AUG2026,11:30:00,0.00
31AUG2026,12:30:00,0.00
31AUG2026,13:30:00,0.00
31AUG2026,14:30:00,0.00
31AUG2026,15:30:00,0.10
31AUG2026,16:30:00,0.10
31AUG2026,17:30:00,0.00
31AUG2026,18:30:00,0.00
31AUG2026,19:30:00,0.00
31AUG2026,20:30:00,0.00
31AUG2026,21:30:00,0.00
31AUG2026,22:30:00,0.00
31AUG2026,23:30:00,0.10
01SEP2026,00:30:00,0.20
01SEP2026,01:30:00,0.30
01SEP2026,02:30:00,0.60
01SEP2026,03:30:00,0.70
01SEP2026,04:30:00,0.50
01SEP2026,05:30:00,0.30
01SEP2026,06:30:00,0.10
01SEP2026,07:30:00,0.00
01SEP2026,08:30:00,0.00
01SEP2026,09:30:00,0.00
01SEP2026,10:30:00,0.00
01SEP2026,11:30:00,0.00
01SEP2026,12:30:00,0.00
01SEP2026,13:30:00,0.00
01SEP2026,14:30:00,0.10
01SEP2026,15:30:00,0.00
01SEP2026,16:30:00,0.00
01SEP2026,17:30:00,0.00
01SEP2026,18:30:00,0.10
01SEP2026,19:30:00,0.00
01SEP2026,20:30:00,0.00
01SEP2026,21:30:00,0.00
01SEP2026,22:30:00,0.00
01SEP2026,23:30:00,0.10
02SEP2026,00:30:00,0.10
02SEP2026,01:30:00,0.30
02SEP2026,02:30:00,0.60
02SEP2026,03:30:00,0.90
02SEP2026,04:30:00,0.60
02SEP2026,05:30:00,0.30
02SEP2026,06:30:00,0.20
02SEP2026,07:30:00,0.10
02SEP2026,08:30:00,0.10
02SEP2026,09:30:00,0.10
02SEP2026,10:30:00,0.10
02SEP2026,11:30:00,0.00
02SEP2026,12:30:00,0.00
02SEP2026,13:30:00,0.00
02SEP2026,14:30:00,0.00
02SEP2026,15:30:00,0.00
02SEP2026,16:30:00,0.10
02SEP2026,17:30:00,0.00
02SEP2026,18:30:00,0.00
02SEP2026,19:30:00,0.00
02SEP2026,20:30:00,0.10
02SEP2026,21:30:00,0.10
02SEP2026,22:30:00,0.00
02SEP2026,23:30:00,0.10
03SEP2026,00:30:00,0.40
03SEP2026,01:30:00,0.30
03SEP2026,02:30:00,0.50
03SEP2026,03:30:00,0.60
03SEP2026,04:30:00,0.30
03SEP2026,05:30:00,0.00
03SEP2026,06:30:00,0.10
03SEP2026,07:30:00,0.10
03SEP2026,08:30:00,0.10
03SEP2026,09:30:00,0.10
03SEP2026,10:30:00,0.10
03SEP2026,11:30:00,0.10

PATHNAME: /PANCHGANGA/SUB_GHATS_UPPER_CENTROID/PRECIP-INC/30AUG2026/1HOUR/OPENMETEO-V1/
UNITS: MM
TYPE: INST-VAL
INTERVAL: 1HOUR
DATE,TIME,VALUE
30AUG2026,18:30:00,0.50
30AUG2026,19:30:00,0.30
30AUG2026,20:30:00,0.50
30AUG2026,21:30:00,0.60
30AUG2026,22:30:00,0.50
30AUG2026,23:30:00,0.80
31AUG2026,00:30:00,0.60
31AUG2026,01:30:00,1.30
31AUG2026,02:30:00,1.50
31AUG2026,03:30:00,0.60
31AUG2026,04:30:00,0.50
31AUG2026,05:30:00,1.20
31AUG2026,06:30:00,0.50
31AUG2026,07:30:00,0.20
31AUG2026,08:30:00,0.20
31AUG2026,09:30:00,0.20
31AUG2026,10:30:00,0.30
31AUG2026,11:30:00,0.30
31AUG2026,12:30:00,0.20
31AUG2026,13:30:00,0.10
31AUG2026,14:30:00,0.30
31AUG2026,15:30:00,0.80
31AUG2026,16:30:00,0.30
31AUG2026,17:30:00,0.10
31AUG2026,18:30:00,0.10
31AUG2026,19:30:00,0.30
31AUG2026,20:30:00,0.10
31AUG2026,21:30:00,0.20
31AUG2026,22:30:00,0.40
31AUG2026,23:30:00,0.70
01SEP2026,00:30:00,1.10
01SEP2026,01:30:00,1.00
01SEP2026,02:30:00,0.60
01SEP2026,03:30:00,0.60
01SEP2026,04:30:00,0.70
01SEP2026,05:30:00,1.10
01SEP2026,06:30:00,0.40
01SEP2026,07:30:00,0.40
01SEP2026,08:30:00,0.60
01SEP2026,09:30:00,0.20
01SEP2026,10:30:00,0.30
01SEP2026,11:30:00,0.20
01SEP2026,12:30:00,0.30
01SEP2026,13:30:00,0.30
01SEP2026,14:30:00,0.50
01SEP2026,15:30:00,0.30
01SEP2026,16:30:00,0.40
01SEP2026,17:30:00,0.40
01SEP2026,18:30:00,0.50
01SEP2026,19:30:00,0.30
01SEP2026,20:30:00,0.20
01SEP2026,21:30:00,0.20
01SEP2026,22:30:00,0.40
01SEP2026,23:30:00,0.80
02SEP2026,00:30:00,0.80
02SEP2026,01:30:00,1.10
02SEP2026,02:30:00,0.70
02SEP2026,03:30:00,1.00
02SEP2026,04:30:00,1.40
02SEP2026,05:30:00,1.80
02SEP2026,06:30:00,1.00
02SEP2026,07:30:00,0.70
02SEP2026,08:30:00,0.90
02SEP2026,09:30:00,0.70
02SEP2026,10:30:00,0.60
02SEP2026,11:30:00,0.40
02SEP2026,12:30:00,0.20
02SEP2026,13:30:00,0.20
02SEP2026,14:30:00,0.20
02SEP2026,15:30:00,0.30
02SEP2026,16:30:00,0.60
02SEP2026,17:30:00,0.40
02SEP2026,18:30:00,0.40
02SEP2026,19:30:00,0.40
02SEP2026,20:30:00,0.80
02SEP2026,21:30:00,0.60
02SEP2026,22:30:00,0.40
02SEP2026,23:30:00,0.90
03SEP2026,00:30:00,1.20
03SEP2026,01:30:00,0.90
03SEP2026,02:30:00,2.10
03SEP2026,03:30:00,2.30
03SEP2026,04:30:00,0.90
03SEP2026,05:30:00,0.60
03SEP2026,06:30:00,1.00
03SEP2026,07:30:00,0.70
03SEP2026,08:30:00,0.80
03SEP2026,09:30:00,0.50
03SEP2026,10:30:00,0.90
03SEP2026,11:30:00,1.00

PATHNAME: /PANCHGANGA/SUB_BHOGAWATI_MID_CENTROID/PRECIP-INC/30AUG2026/1HOUR/OPENMETEO-V1/
UNITS: MM
TYPE: INST-VAL
INTERVAL: 1HOUR
DATE,TIME,VALUE
30AUG2026,18:30:00,0.20
30AUG2026,19:30:00,0.20
30AUG2026,20:30:00,0.20
30AUG2026,21:30:00,0.30
30AUG2026,22:30:00,0.30
30AUG2026,23:30:00,0.30
31AUG2026,00:30:00,0.40
31AUG2026,01:30:00,0.60
31AUG2026,02:30:00,0.50
31AUG2026,03:30:00,0.30
31AUG2026,04:30:00,0.30
31AUG2026,05:30:00,0.30
31AUG2026,06:30:00,0.30
31AUG2026,07:30:00,0.20
31AUG2026,08:30:00,0.10
31AUG2026,09:30:00,0.10
31AUG2026,10:30:00,0.10
31AUG2026,11:30:00,0.10
31AUG2026,12:30:00,0.10
31AUG2026,13:30:00,0.10
31AUG2026,14:30:00,0.20
31AUG2026,15:30:00,0.30
31AUG2026,16:30:00,0.10
31AUG2026,17:30:00,0.10
31AUG2026,18:30:00,0.00
31AUG2026,19:30:00,0.20
31AUG2026,20:30:00,0.10
31AUG2026,21:30:00,0.00
31AUG2026,22:30:00,0.10
31AUG2026,23:30:00,0.40
01SEP2026,00:30:00,0.50
01SEP2026,01:30:00,1.00
01SEP2026,02:30:00,0.80
01SEP2026,03:30:00,0.60
01SEP2026,04:30:00,0.30
01SEP2026,05:30:00,0.40
01SEP2026,06:30:00,0.20
01SEP2026,07:30:00,0.10
01SEP2026,08:30:00,0.20
01SEP2026,09:30:00,0.00
01SEP2026,10:30:00,0.10
01SEP2026,11:30:00,0.00
01SEP2026,12:30:00,0.10
01SEP2026,13:30:00,0.10
01SEP2026,14:30:00,0.10
01SEP2026,15:30:00,0.10
01SEP2026,16:30:00,0.10
01SEP2026,17:30:00,0.10
01SEP2026,18:30:00,0.10
01SEP2026,19:30:00,0.10
01SEP2026,20:30:00,0.10
01SEP2026,21:30:00,0.10
01SEP2026,22:30:00,0.20
01SEP2026,23:30:00,0.30
02SEP2026,00:30:00,0.50
02SEP2026,01:30:00,0.70
02SEP2026,02:30:00,0.70
02SEP2026,03:30:00,0.90
02SEP2026,04:30:00,0.60
02SEP2026,05:30:00,0.70
02SEP2026,06:30:00,0.60
02SEP2026,07:30:00,0.40
02SEP2026,08:30:00,0.30
02SEP2026,09:30:00,0.20
02SEP2026,10:30:00,0.30
02SEP2026,11:30:00,0.10
02SEP2026,12:30:00,0.10
02SEP2026,13:30:00,0.00
02SEP2026,14:30:00,0.20
02SEP2026,15:30:00,0.20
02SEP2026,16:30:00,0.40
02SEP2026,17:30:00,0.10
02SEP2026,18:30:00,0.00
02SEP2026,19:30:00,0.10
02SEP2026,20:30:00,0.40
02SEP2026,21:30:00,0.40
02SEP2026,22:30:00,0.30
02SEP2026,23:30:00,0.40
03SEP2026,00:30:00,0.50
03SEP2026,01:30:00,0.40
03SEP2026,02:30:00,1.30
03SEP2026,03:30:00,0.40
03SEP2026,04:30:00,0.50
03SEP2026,05:30:00,0.30
03SEP2026,06:30:00,0.20
03SEP2026,07:30:00,0.10
03SEP2026,08:30:00,0.20
03SEP2026,09:30:00,0.20
03SEP2026,10:30:00,0.20
03SEP2026,11:30:00,0.40

PATHNAME: /PANCHGANGA/SUB_TULSHI_CONFLUENCE_CENTROID/PRECIP-INC/30AUG2026/1HOUR/OPENMETEO-V1/
UNITS: MM
TYPE: INST-VAL
INTERVAL: 1HOUR
DATE,TIME,VALUE
30AUG2026,18:30:00,0.10
30AUG2026,19:30:00,0.00
30AUG2026,20:30:00,0.10
30AUG2026,21:30:00,0.10
30AUG2026,22:30:00,0.10
30AUG2026,23:30:00,0.10
31AUG2026,00:30:00,0.10
31AUG2026,01:30:00,0.20
31AUG2026,02:30:00,0.20
31AUG2026,03:30:00,0.20
31AUG2026,04:30:00,0.30
31AUG2026,05:30:00,0.10
31AUG2026,06:30:00,0.10
31AUG2026,07:30:00,0.10
31AUG2026,08:30:00,0.00
31AUG2026,09:30:00,0.00
31AUG2026,10:30:00,0.00
31AUG2026,11:30:00,0.00
31AUG2026,12:30:00,0.00
31AUG2026,13:30:00,0.00
31AUG2026,14:30:00,0.00
31AUG2026,15:30:00,0.00
31AUG2026,16:30:00,0.00
31AUG2026,17:30:00,0.00
31AUG2026,18:30:00,0.00
31AUG2026,19:30:00,0.00
31AUG2026,20:30:00,0.00
31AUG2026,21:30:00,0.00
31AUG2026,22:30:00,0.00
31AUG2026,23:30:00,0.20
01SEP2026,00:30:00,0.40
01SEP2026,01:30:00,0.50
01SEP2026,02:30:00,0.40
01SEP2026,03:30:00,0.40
01SEP2026,04:30:00,0.30
01SEP2026,05:30:00,0.10
01SEP2026,06:30:00,0.10
01SEP2026,07:30:00,0.00
01SEP2026,08:30:00,0.00
01SEP2026,09:30:00,0.00
01SEP2026,10:30:00,0.00
01SEP2026,11:30:00,0.00
01SEP2026,12:30:00,0.00
01SEP2026,13:30:00,0.00
01SEP2026,14:30:00,0.00
01SEP2026,15:30:00,0.00
01SEP2026,16:30:00,0.00
01SEP2026,17:30:00,0.00
01SEP2026,18:30:00,0.00
01SEP2026,19:30:00,0.00
01SEP2026,20:30:00,0.00
01SEP2026,21:30:00,0.00
