Raingauge_Station,Longitude (X),Latitude (Y),Subbasin_ID,Station_Type,Elevation_m
Karvir,74.2481772,16.706369,S1,Primary,550.0
Sangarul,74.0931627,16.6841962,S2,Primary,572.0
Balinga,74.17031,16.6878443,S2,Alternate,560.0
Kale,74.0564499,16.7228087,S2,Alternate,580.0
Kotoli,74.0518705,16.7820174,S3,Primary,585.0
Bajar Bhogaon,74.1107824,16.8086769,S3,Alternate,590.0
Padal,74.115187,16.7446006,S3,Alternate,575.0
Beed,74.1288964,16.647984,S4,Primary,565.0
Salwan,73.9735,16.6712,S5,Primary,595.0
Karanjphen,73.9036487,16.7850973,S6,Primary,640.0
Gaganbawda,73.8346738,16.5469926,S6,Alternate,680.0
Radhanagari,73.9971822,16.41021,S7,Primary,615.0
Shiroli-Dhumala,74.1062828,16.6166768,S8,Alternate,560.0
Haladi,74.156292,16.5932632,S9,Alternate,555.0
Rashiwade Bk.,74.1019728,16.5475641,S9,Alternate,570.0
Aavali Bk.,74.0549812,16.481009,S9,Alternate,585.0
Kasaba Tarale,74.021589,16.4478876,S9,Alternate,595.0
Kasaba Walawe,73.9971822,16.41021,S9,Alternate,615.0
