date,month,ft_str,ft_val,stage_m,calc_stage_m,q_cfs,q_cumec,is_monsoon
6/1/2020,6,10'6'',10.5,533.38,533.38,1300.0,36.81,True
6/2/2020,6,11'8'',11.67,533.74,533.74,1800.0,50.97,True
6/3/2020,6,11'0'',11.0,533.54,533.53,1400.0,39.64,True
6/4/2020,6,12'10'',12.83,534.1,534.09,4244.0,120.18,True
6/5/2020,6,12'9'',12.75,534.07,534.07,4158.0,117.74,True
6/6/2020,6,13'7'',13.58,534.32,534.32,5040.0,142.72,True
6/7/2020,6,12'0'',12.0,533.84,533.84,3355.0,95.0,True
6/8/2020,6,11'2'',11.17,533.59,533.58,2913.0,82.49,True
6/9/2020,6,11'0'',11.0,533.54,533.53,2825.0,80.0,True
6/10/2020,6,10'8'',10.67,533.43,533.43,2649.0,75.01,True
6/11/2020,6,10'8'',10.67,533.43,533.43,2649.0,75.01,True
6/12/2020,6,10'4'',10.33,533.33,533.33,2472.0,70.0,True
6/13/2020,6,10'3'',10.25,533.31,533.3,2418.0,68.47,True
6/14/2020,6,13'0'',13.0,534.15,534.14,4414.0,124.99,True
6/15/2020,6,13'1'',13.08,534.17,534.17,4503.0,127.51,True
6/16/2020,6,13'9'',13.75,534.38,534.37,5231.0,148.13,True
6/17/2020,6,22'4'',22.33,536.99,536.99,15627.0,442.51,True
6/18/2020,6,25'1'',25.08,537.83,537.83,19706.0,558.01,True
6/19/2020,6,25'0'',25.0,537.8,537.8,19575.0,554.3,True
6/20/2020,6,23'10'',23.83,537.47,537.44,17867.0,505.94,True
6/21/2020,6,20'5'',20.42,536.41,536.4,13087.0,370.58,True
6/22/2020,6,16'6'',16.5,535.21,535.21,7683.0,217.56,True
6/23/2020,6,15'0'',15.0,534.76,534.75,6180.0,175.0,True
6/24/2020,6,14'5'',14.42,534.58,534.57,5805.0,164.38,True
6/25/2020,6,13'0'',13.0,534.15,534.14,4414.0,124.99,True
6/26/2020,6,11'11'',11.92,533.82,533.81,3311.0,93.76,True
6/27/2020,6,11'6'',11.5,533.69,533.69,3090.0,87.5,True
6/28/2020,6,11'7'',11.58,533.71,533.71,3134.0,88.74,True
6/29/2020,6,11'3'',11.25,533.61,533.61,2958.0,83.76,True
6/30/2020,6,11'4'',11.33,533.64,533.63,3002.0,85.01,True
7/1/2020,7,11'5'',11.42,533.66,533.66,3046.0,86.25,True
7/2/2020,7,11'5'',11.42,533.66,533.66,3046.0,86.25,True
7/3/2020,7,12'2'',12.17,533.89,533.89,3538.0,100.19,True
7/4/2020,7,13'0'',13.0,534.15,534.14,4414.0,124.99,True
7/5/2020,7,15'3'',15.25,534.83,534.83,9371.0,265.36,True
7/6/2020,7,17'0'',17.0,535.37,535.36,8393.0,237.66,True
7/7/2020,7,17'10'',17.83,535.62,535.62,9021.0,255.45,True
7/8/2020,7,21'5'',21.42,536.71,536.71,14537.0,411.64,True
7/9/2020,7,26'7'',26.58,538.29,538.28,22894.0,648.29,True
7/10/2020,7,26'8'',26.67,538.31,538.31,23143.0,655.34,True
7/11/2020,7,24'3'',24.25,537.58,537.57,18392.0,520.8,True
7/12/2020,7,22'1'',22.08,536.92,536.91,15329.0,434.07,True
7/13/2020,7,18'2'',18.17,535.72,535.72,9418.0,266.69,True
7/14/2020,7,16'3'',16.25,535.14,535.13,7329.0,207.53,True
7/15/2020,7,16'1'',16.08,535.09,535.08,7093.0,200.85,True
7/16/2020,7,17'4'',17.33,535.47,535.46,8644.0,244.77,True
7/17/2020,7,20'5'',20.42,536.41,536.4,13087.0,370.58,True
7/18/2020,7,21'6'',21.5,536.74,536.73,14634.0,414.39,True
7/19/2020,7,21'4'',21.33,536.69,536.68,14435.0,408.75,True
7/20/2020,7,21'7'',21.58,536.76,536.76,14733.0,417.19,True
7/21/2020,7,19'7'',19.58,536.15,536.15,11728.0,332.1,True
7/22/2020,7,16'5'',16.42,535.19,535.18,7566.0,214.25,True
7/23/2020,7,15'2'',15.17,534.81,534.8,6307.0,178.59,True
7/24/2020,7,13'3'',13.25,534.22,534.22,4679.0,132.49,True
7/25/2020,7,13'1'',13.08,534.17,534.17,4503.0,127.51,True
7/26/2020,7,12'3'',12.25,533.92,533.91,3629.0,102.76,True
7/27/2020,7,12'0'',12.0,533.84,533.84,3355.0,95.0,True
7/28/2020,7,12'1'',12.08,533.87,533.86,3446.0,97.58,True
7/29/2020,7,12'1'',12.08,533.87,533.86,3446.0,97.58,True
7/30/2020,7,11'9'',11.75,533.77,533.76,3222.0,91.24,True
7/31/2020,7,11'5'',11.42,533.66,533.66,3046.0,86.25,True
8/1/2020,8,11'2'',11.17,533.59,533.58,2913.0,82.49,True
8/2/2020,8,11'2'',11.17,533.59,533.58,2913.0,82.49,True
8/3/2020,8,11'0'',11.0,533.54,533.53,2825.0,80.0,True
8/4/2020,8,15'1'',15.08,534.78,534.78,6244.0,176.81,True
8/5/2020,8,31'0'',31.0,539.63,539.63,32402.0,917.52,True
8/6/2020,8,41'2'',41.17,542.73,542.73,60870.0,1723.65,True
8/7/2020,8,44'7'',44.58,543.78,543.77,64001.0,1812.31,True
8/8/2020,8,44'8'',44.67,543.79,543.79,64068.0,1814.2,True
8/9/2020,8,43'6'',43.5,543.45,543.44,63136.0,1787.81,True
8/10/2020,8,41'4'',41.33,542.78,542.78,61040.0,1728.46,True
8/11/2020,8,38'2'',38.17,541.82,541.81,47993.0,1359.01,True
8/12/2020,8,34'10'',34.83,540.8,540.8,35821.0,1014.34,True
8/13/2020,8,32'10'',32.83,540.19,540.19,33516.0,949.07,True
8/14/2020,8,29'5'',29.42,539.15,539.15,29131.0,824.9,True
8/15/2020,8,27'3'',27.25,538.49,538.49,24654.0,698.12,True
8/16/2020,8,32'5'',32.42,540.07,540.06,33285.0,942.53,True
8/17/2020,8,36'7'',36.58,541.34,541.33,40979.0,1160.4,True
8/18/2020,8,39'9'',39.75,542.3,542.3,58128.0,1646.0,True
8/19/2020,8,41'3'',41.25,542.76,542.75,60955.0,1726.05,True
8/20/2020,8,40'7'',40.58,542.56,542.55,60276.0,1706.83,True
8/21/2020,8,38'3'',38.25,541.84,541.84,48540.0,1374.5,True
8/22/2020,8,36'1'',36.08,541.18,541.18,39414.0,1116.08,True
8/23/2020,8,34'5'',34.42,540.68,540.67,35316.0,1000.04,True
8/24/2020,8,32'2'',32.17,539.99,539.98,33147.0,938.62,True
8/25/2020,8,28'4'',28.33,538.82,538.82,26892.0,761.5,True
8/26/2020,8,23'0'',23.0,537.2,537.19,16421.0,464.99,True
8/27/2020,8,18'10'',18.83,535.92,535.92,10505.0,297.47,True
8/28/2020,8,16'9'',16.75,535.29,535.29,8038.0,227.61,True
8/29/2020,8,16'6'',16.5,535.21,535.21,7683.0,217.56,True
8/30/2020,8,16'9'',16.75,535.29,535.29,8038.0,227.61,True
8/31/2020,8,19'3'',19.25,536.05,536.05,11184.0,316.7,True
9/1/2020,9,18'1'',18.08,535.7,535.69,9283.0,262.87,True
9/2/2020,9,16'11'',16.92,535.34,535.34,8874.0,251.28,True
9/3/2020,9,15'0'',15.0,534.76,534.75,6180.0,175.0,True
9/4/2020,9,17'5'',17.42,535.49,535.49,8707.0,246.55,True
9/5/2020,9,15'7'',15.58,534.93,534.93,6630.0,187.74,True
9/6/2020,9,13'10'',13.83,534.4,534.4,5327.0,150.84,True
9/7/2020,9,18'0'',18.0,535.67,535.67,9147.0,259.01,True
9/8/2020,9,16'9'',16.75,535.29,535.29,8038.0,227.61,True
9/9/2020,9,19'6'',19.5,536.13,536.12,11592.0,328.25,True
9/10/2020,9,15'7'',15.58,534.93,534.93,6630.0,187.74,True
9/11/2020,9,14'7'',14.58,534.63,534.62,5915.0,167.49,True
9/12/2020,9,15'0'',15.0,534.76,534.75,6180.0,175.0,True
9/13/2020,9,13'10'',13.83,534.4,534.4,5327.0,150.84,True
9/14/2020,9,13'5'',13.42,534.27,534.27,4856.0,137.51,True
9/15/2020,9,13'4'',13.33,534.25,534.24,4768.0,135.01,True
9/16/2020,9,12'11'',12.92,534.12,534.12,4329.0,122.58,True
9/17/2020,9,12'10'',12.83,534.1,534.09,4244.0,120.18,True
9/18/2020,9,13'8'',13.67,534.35,534.35,5136.0,145.44,True
9/19/2020,9,13'5'',13.42,534.27,534.27,4856.0,137.51,True
9/20/2020,9,13'4'',13.33,534.25,534.24,4768.0,135.01,True
9/21/2020,9,12'6'',12.5,533.99,533.99,3902.0,110.49,True
9/22/2020,9,12'4'',12.33,533.94,533.94,3720.0,105.34,True
9/23/2020,9,14'11'',14.92,534.73,534.73,6127.0,173.5,True
9/24/2020,9,17'2'',17.17,535.42,535.41,8518.0,241.2,True
9/25/2020,9,17'9'',17.75,535.59,535.59,8958.0,253.66,True
9/26/2020,9,15'11'',15.92,535.04,535.03,6906.0,195.56,True
9/27/2020,9,15'3'',15.25,534.83,534.83,6971.0,197.4,True
9/28/2020,9,15'2'',15.17,534.81,534.8,6307.0,178.59,True
9/29/2020,9,14'9'',14.75,534.68,534.68,6021.0,170.5,True
9/30/2020,9,13'6'',13.5,534.3,534.29,4944.0,140.0,True
10/1/2020,10,12'3'',12.25,533.92,533.91,3629.0,102.76,True
10/2/2020,10,11'10'',11.83,533.79,533.79,3267.0,92.51,True
10/3/2020,10,11'5'',11.42,533.66,533.66,3046.0,86.25,True
10/4/2020,10,11'4'',11.33,533.64,533.63,3002.0,85.01,True
10/5/2020,10,10'11'',10.92,533.51,533.51,2781.0,78.75,True
10/6/2020,10,10'10'',10.83,533.49,533.48,2737.0,77.5,True
10/7/2020,10,10'8'',10.67,533.43,533.43,2649.0,75.01,True
10/8/2020,10,10'7'',10.58,533.41,533.41,2604.0,73.74,True
10/9/2020,10,10'4'',10.33,533.33,533.33,2472.0,70.0,True
10/10/2020,10,10'2'',10.17,533.28,533.28,2384.0,67.51,True
10/11/2020,10,10'5'',10.42,533.36,533.35,2516.0,71.25,True
10/12/2020,10,10'1'',10.08,533.26,533.25,2340.0,66.26,True
10/13/2020,10,10'1'',10.08,533.26,533.25,2340.0,66.26,True
10/14/2020,10,10'4'',10.33,533.33,533.33,2472.0,70.0,True
10/15/2020,10,17'0'',17.0,535.37,535.36,8393.0,237.66,True
10/16/2020,10,26'1'',26.08,538.14,538.13,21401.0,606.01,True
10/17/2020,10,23'11'',23.92,537.47,537.47,17867.0,505.94,True
10/18/2020,10,17'0'',17.0,535.37,535.36,8393.0,237.66,True
10/19/2020,10,13'7'',13.58,534.32,534.32,5040.0,142.72,True
10/20/2020,10,13'4'',13.33,534.25,534.24,4768.0,135.01,True
10/21/2020,10,13'7'',13.58,534.32,534.32,5040.0,142.72,True
10/22/2020,10,12'10'',12.83,534.1,534.09,4244.0,120.18,True
10/23/2020,10,11'7'',11.58,533.71,533.71,3134.0,88.74,True
10/24/2020,10,11'6'',11.5,533.69,533.69,3090.0,87.5,True
10/25/2020,10,11'3'',11.25,533.61,533.61,2958.0,83.76,True
10/26/2020,10,11'0'',11.0,533.54,533.53,2825.0,80.0,True
10/27/2020,10,10'10'',10.83,533.49,533.48,2737.0,77.5,True
10/28/2020,10,11'1'',11.08,533.56,533.56,2869.0,81.24,True
10/29/2020,10,10'10'',10.83,533.49,533.48,2737.0,77.5,True
10/30/2020,10,10'9'',10.75,533.46,533.46,2693.0,76.26,True
10/31/2020,10,10'4'',10.33,533.33,533.33,2402.0,68.02,True
11/1/2020,11,10'1'',10.08,533.25,533.25,2340.0,66.26,False
11/2/2020,11,9'11'',9.92,533.21,533.2,2251.0,63.74,False
11/3/2020,11,9'11'',9.92,533.21,533.2,2251.0,63.74,False
11/4/2020,11,12'9'',12.75,534.07,534.07,1900.0,53.8,False
11/5/2020,11,14'0'',14.0,534.45,534.45,720.0,20.39,False
11/6/2020,11,14'0'',14.0,534.45,534.45,720.0,20.39,False
11/7/2020,11,13'9'',13.75,534.37,534.37,675.0,19.11,False
11/8/2020,11,13'8'',13.67,534.35,534.35,665.0,18.83,False
11/9/2020,11,13'6'',13.5,534.29,534.29,615.0,17.41,False
11/10/2020,11,13'0'',13.0,534.14,534.14,360.0,10.19,False
11/11/2020,11,13'8'',13.67,534.35,534.35,400.0,11.33,False
11/12/2020,11,13'5'',13.42,534.27,534.27,350.0,9.91,False
11/13/2020,11,13'0'',13.0,534.14,534.14,350.0,9.91,False
11/14/2020,11,12'10'',12.83,534.09,534.09,300.0,8.5,False
11/15/2020,11,12'10'',12.83,534.09,534.09,300.0,8.5,False
11/16/2020,11,12'10'',12.83,534.09,534.09,300.0,8.5,False
11/17/2020,11,12'10'',12.83,534.09,534.09,300.0,8.5,False
