date,time,ft_str,ft_dec,stage_m,q_cfs,q_cumec
6/25/2023,12:00 AM,8'7'',8.58,532.8,250.0,7.08
6/26/2023,12:00 AM,8'3'',8.25,532.7,500.0,14.16
6/28/2023,12:00 AM,9'0'',9.0,532.93,1050.0,29.73
6/29/2023,12:00 AM,8'10'',8.83,532.88,1000.0,28.32
6/30/2023,12:00 AM,9'2'',9.17,532.98,1150.0,32.56
6/25/2023,1:00 AM,8'7'',8.58,532.8,250.0,7.08
6/26/2023,1:00 AM,8'4'',8.33,532.72,500.0,14.16
6/28/2023,1:00 AM,9'0'',9.0,532.93,1050.0,29.73
6/29/2023,1:00 AM,8'10'',8.83,532.88,1000.0,28.32
6/30/2023,1:00 AM,9'3'',9.25,533.0,1200.0,33.98
6/25/2023,2:00 AM,8'7'',8.58,532.8,250.0,7.08
6/26/2023,2:00 AM,8'4'',8.33,532.72,500.0,14.16
6/28/2023,2:00 AM,9'0'',9.0,532.93,1050.0,29.73
6/29/2023,2:00 AM,8'10'',8.83,532.88,1000.0,28.32
6/30/2023,2:00 AM,9'4'',9.33,533.03,1250.0,35.4
6/25/2023,3:00 AM,8'7'',8.58,532.8,250.0,7.08
6/26/2023,3:00 AM,8'5'',8.42,532.77,500.0,14.16
6/28/2023,3:00 AM,8'11'',8.92,532.9,1000.0,28.32
6/29/2023,3:00 AM,8'10'',8.83,532.88,1000.0,28.32
6/30/2023,3:00 AM,9'5'',9.42,533.05,1300.0,36.81
6/25/2023,4:00 AM,8'7'',8.58,532.8,250.0,7.08
6/26/2023,4:00 AM,8'6'',8.5,532.77,500.0,14.16
6/28/2023,4:00 AM,8'11'',8.92,532.9,1000.0,28.32
6/29/2023,4:00 AM,8'10'',8.83,532.88,1000.0,28.32
6/30/2023,4:00 AM,9'6'',9.5,533.08,1350.0,38.23
6/25/2023,5:00 AM,8'6'',8.5,532.77,250.0,7.08
6/26/2023,5:00 AM,8'7'',8.58,532.8,500.0,14.16
6/28/2023,5:00 AM,8'11'',8.92,532.9,1000.0,28.32
6/29/2023,5:00 AM,8'11'',8.92,532.9,1000.0,28.32
6/30/2023,5:00 AM,9'6'',9.5,533.08,1350.0,38.23
6/25/2023,6:00 AM,8'6'',8.5,532.77,250.0,7.08
6/26/2023,6:00 AM,8'8'',8.67,532.83,500.0,14.16
6/27/2023,6:00 AM,8'8'',8.67,532.83,800.0,22.65
6/28/2023,6:00 AM,8'11'',8.92,532.9,1000.0,28.32
6/29/2023,6:00 AM,8'11'',8.92,532.9,1000.0,28.32
6/30/2023,6:00 AM,9'7'',9.58,533.1,1400.0,39.64
6/25/2023,7:00 AM,8'6'',8.5,532.77,500.0,14.16
6/26/2023,7:00 AM,8'9'',8.75,532.85,600.0,16.99
6/27/2023,7:00 AM,8'8'',8.67,532.83,800.0,22.65
6/28/2023,7:00 AM,8'11'',8.92,532.9,1000.0,28.32
6/29/2023,7:00 AM,8'11'',8.92,532.9,1000.0,28.32
6/30/2023,7:00 AM,9'7'',9.58,533.1,1400.0,39.64
6/25/2023,8:00 AM,8'6'',8.5,532.77,500.0,14.16
6/26/2023,8:00 AM,8'9'',8.75,532.85,600.0,16.99
6/27/2023,8:00 AM,8'8'',8.67,532.83,800.0,22.65
6/28/2023,8:00 AM,8'11'',8.92,532.9,1000.0,28.32
6/29/2023,8:00 AM,8'11'',8.92,532.9,1000.0,28.32
6/30/2023,8:00 AM,9'7'',9.58,533.1,1400.0,39.64
6/25/2023,9:00 AM,8'6'',8.5,532.77,500.0,14.16
6/26/2023,9:00 AM,8'10'',8.83,532.88,600.0,16.99
6/27/2023,9:00 AM,8'8'',8.67,532.83,800.0,22.65
6/28/2023,9:00 AM,8'11'',8.92,532.9,1000.0,28.32
6/29/2023,9:00 AM,8'11'',8.92,532.9,1000.0,28.32
6/30/2023,9:00 AM,9'7'',9.58,533.1,1400.0,39.64
6/25/2023,10:00 AM,8'5'',8.42,532.71,500.0,14.16
6/26/2023,10:00 AM,8'10'',8.83,532.88,600.0,16.99
6/27/2023,10:00 AM,8'8'',8.67,532.83,800.0,22.65
6/28/2023,10:00 AM,8'11'',8.92,532.9,1000.0,28.32
6/29/2023,10:00 AM,8'11'',8.92,532.9,1000.0,28.32
6/30/2023,10:00 AM,9'8'',9.67,533.13,2119.0,60.0
6/25/2023,11:00 AM,8'5'',8.42,532.71,500.0,14.16
6/26/2023,11:00 AM,8'10'',8.83,532.88,600.0,16.99
6/27/2023,11:00 AM,8'8'',8.67,532.83,800.0,22.65
6/28/2023,11:00 AM,8'11'',8.92,532.9,1000.0,28.32
6/29/2023,11:00 AM,8'11'',8.92,532.9,1000.0,28.32
6/30/2023,11:00 AM,9'8'',9.67,533.13,2119.0,60.0
6/25/2023,12:00 PM,8'4'',8.33,532.72,500.0,14.16
6/26/2023,12:00 PM,8'11'',8.92,532.9,1000.0,28.32
6/27/2023,12:00 PM,8'8'',8.67,532.83,800.0,22.65
6/28/2023,12:00 PM,8'11'',8.92,532.9,1000.0,28.32
6/29/2023,12:00 PM,8'11'',8.92,532.9,1000.0,28.32
6/30/2023,12:00 PM,9'9'',9.75,533.16,2163.0,61.25
6/25/2023,1:00 PM,8'4'',8.33,532.72,500.0,14.16
6/26/2023,1:00 PM,8'11'',8.92,532.9,1000.0,28.32
6/27/2023,1:00 PM,8'8'',8.67,532.83,800.0,22.65
6/28/2023,1:00 PM,8'10'',8.83,532.88,1000.0,28.32
6/29/2023,1:00 PM,9'0'',9.0,532.93,1050.0,29.73
6/30/2023,1:00 PM,9'9'',9.75,533.16,2163.0,61.25
6/25/2023,2:00 PM,8'4'',8.33,532.72,500.0,14.16
6/26/2023,2:00 PM,8'11'',8.92,532.9,1000.0,28.32
6/27/2023,2:00 PM,8'8'',8.67,532.83,800.0,22.65
6/28/2023,2:00 PM,8'10'',8.83,532.88,1000.0,28.32
6/29/2023,2:00 PM,9'0'',9.0,532.93,1050.0,29.73
6/30/2023,2:00 PM,9'10'',9.83,533.18,2207.0,62.5
6/25/2023,3:00 PM,8'3'',8.25,532.7,500.0,14.16
6/26/2023,3:00 PM,8'11'',8.92,532.9,1000.0,28.32
6/27/2023,3:00 PM,8'8'',8.67,532.83,800.0,22.65
6/28/2023,3:00 PM,8'10'',8.83,532.88,1000.0,28.32
6/29/2023,3:00 PM,9'0'',9.0,532.93,1050.0,29.73
6/30/2023,3:00 PM,9'10'',9.83,533.18,2207.0,62.5
6/25/2023,4:00 PM,8'3'',8.25,532.7,500.0,14.16
6/26/2023,4:00 PM,8'11'',8.92,532.9,1000.0,28.32
6/27/2023,4:00 PM,8'9'',8.75,532.85,900.0,25.49
6/28/2023,4:00 PM,8'10'',8.83,532.88,1000.0,28.32
6/29/2023,4:00 PM,9'0'',9.0,532.93,1050.0,29.73
6/30/2023,4:00 PM,9'11'',9.92,533.21,2251.0,63.74
6/25/2023,5:00 PM,8'3'',8.25,532.7,500.0,14.16
6/26/2023,5:00 PM,8'10'',8.83,532.88,600.0,16.99
6/27/2023,5:00 PM,8'10'',8.83,532.88,950.0,26.9
6/28/2023,5:00 PM,8'10'',8.83,532.88,1000.0,28.32
6/29/2023,5:00 PM,9'1'',9.08,532.95,1100.0,31.15
6/30/2023,5:00 PM,10'0'',10.0,533.23,2295.0,64.99
6/25/2023,6:00 PM,8'3'',8.25,532.7,500.0,14.16
6/26/2023,6:00 PM,8'10'',8.83,532.88,600.0,16.99
6/27/2023,6:00 PM,8'11'',8.92,532.9,1000.0,28.32
6/28/2023,6:00 PM,8'10'',8.83,532.88,1000.0,28.32
6/29/2023,6:00 PM,9'2'',9.17,532.98,1150.0,32.56
6/30/2023,6:00 PM,10'1'',10.08,533.26,2340.0,66.26
6/25/2023,7:00 PM,8'3'',8.25,532.7,500.0,14.16
6/26/2023,7:00 PM,8'10'',8.83,532.88,600.0,16.99
6/27/2023,7:00 PM,9'0'',9.0,532.93,1050.0,29.73
6/28/2023,7:00 PM,8'10'',8.83,532.88,1000.0,28.32
6/29/2023,7:00 PM,9'2'',9.17,532.98,1150.0,32.56
6/30/2023,7:00 PM,10'2'',10.17,533.28,2384.0,67.51
6/25/2023,8:00 PM,8'3'',8.25,532.7,500.0,14.16
6/26/2023,8:00 PM,8'9'',8.75,532.85,600.0,16.99
6/27/2023,8:00 PM,9'0'',9.0,532.93,1050.0,29.73
6/28/2023,8:00 PM,8'10'',8.83,532.88,1000.0,28.32
6/29/2023,8:00 PM,9'2'',9.17,532.98,1150.0,32.56
6/30/2023,8:00 PM,10'3'',10.25,533.31,2428.0,68.75
6/25/2023,9:00 PM,8'3'',8.25,532.7,500.0,14.16
6/26/2023,9:00 PM,8'9'',8.75,532.85,600.0,16.99
6/27/2023,9:00 PM,9'0'',9.0,532.93,1050.0,29.73
6/28/2023,9:00 PM,8'10'',8.83,532.88,1000.0,28.32
6/29/2023,9:00 PM,9'2'',9.17,532.98,1150.0,32.56
6/30/2023,9:00 PM,10'4'',10.33,533.33,2472.0,70.0
6/25/2023,10:00 PM,8'3'',8.25,532.7,500.0,14.16
6/26/2023,10:00 PM,8'9'',8.75,532.85,600.0,16.99
6/27/2023,10:00 PM,9'0'',9.0,532.93,1050.0,29.73
6/28/2023,10:00 PM,8'10'',8.83,532.88,1000.0,28.32
6/29/2023,10:00 PM,9'2'',9.17,532.98,1150.0,32.56
6/30/2023,10:00 PM,10'4'',10.33,533.33,2472.0,70.0
6/25/2023,11:00 PM,8'3'',8.25,532.7,500.0,14.16
6/27/2023,11:00 PM,9'0'',9.0,532.93,1050.0,29.73
6/28/2023,11:00 PM,8'10'',8.83,532.88,1000.0,28.32
6/29/2023,11:00 PM,9'2'',9.17,532.98,1150.0,32.56
6/30/2023,11:00 PM,10'4'',10.33,533.33,2472.0,70.0
7/1/2023,12:00 AM,10'5'',10.42,533.36,2516.0,71.25
7/2/2023,12:00 AM,12'0'',12.0,533.84,3355.0,95.0
7/5/2023,12:00 AM,12'11'',12.92,534.12,4329.0,122.58
7/6/2023,12:00 AM,10'11'',10.92,533.51,2781.0,78.75
7/7/2023,12:00 AM,12'3'',12.25,533.92,3629.0,102.76
7/8/2023,12:00 AM,17'3'',17.25,534.44,8581.0,242.99
7/1/2023,1:00 AM,10'5'',10.42,533.36,2516.0,71.25
7/2/2023,1:00 AM,12'2'',12.17,533.89,3538.0,100.19
7/5/2023,1:00 AM,12'10'',12.83,534.1,4244.0,120.18
7/6/2023,1:00 AM,10'11'',10.92,533.51,2781.0,78.75
7/7/2023,1:00 AM,12'10'',12.83,534.1,4244.0,120.18
7/8/2023,1:00 AM,17'3'',17.25,534.44,8581.0,242.99
7/1/2023,2:00 AM,10'6'',10.5,533.38,2560.0,72.49
7/2/2023,2:00 AM,12'4'',12.33,533.94,3720.0,105.34
7/6/2023,2:00 AM,10'10'',10.83,533.49,2737.0,77.5
7/7/2023,2:00 AM,13'4'',13.33,534.25,4768.0,135.01
7/8/2023,2:00 AM,17'3'',17.25,534.44,8581.0,242.99
7/1/2023,3:00 AM,10'6'',10.5,533.38,2560.0,72.49
7/2/2023,3:00 AM,12'6'',12.5,533.99,3902.0,110.49
7/6/2023,3:00 AM,10'10'',10.83,533.49,2737.0,77.5
7/7/2023,3:00 AM,13'10'',13.83,534.4,5327.0,150.84
7/8/2023,3:00 AM,17'4'',17.33,535.47,8644.0,244.77
7/1/2023,4:00 AM,10'7'',10.58,533.41,2604.0,73.74
7/2/2023,4:00 AM,12'8'',12.67,534.06,4073.0,115.33
7/6/2023,4:00 AM,10'9'',10.75,533.46,2693.0,76.26
7/7/2023,4:00 AM,14'4'',14.33,534.55,5748.0,162.77
7/8/2023,4:00 AM,17'6'',17.5,535.52,8769.0,248.31
7/1/2023,5:00 AM,10'7'',10.58,533.41,2604.0,73.74
7/2/2023,5:00 AM,12'10'',12.83,534.1,4244.0,120.18
7/6/2023,5:00 AM,10'8'',10.67,533.43,2649.0,75.01
7/7/2023,5:00 AM,14'6'',14.5,534.6,5862.0,165.99
7/8/2023,5:00 AM,17'7',17.58,535.54,8832.0,250.09
7/1/2023,6:00 AM,10'8'',10.67,533.43,2649.0,75.01
7/2/2023,6:00 AM,12'11'',12.92,534.12,4329.0,122.58
7/4/2023,6:00 AM,14'0'',14.0,534.45,5518.0,156.25
7/6/2023,6:00 AM,10'7'',10.58,533.41,2604.0,73.74
7/7/2023,6:00 AM,14'11'',14.92,534.73,6127.0,173.5
7/8/2023,6:00 AM,18'0'',18.0,535.67,9147.0,259.01
7/1/2023,7:00 AM,10'8'',10.67,533.43,2649.0,75.01
7/2/2023,7:00 AM,13'0'',13.0,534.15,4414.0,124.99
7/3/2023,7:00 AM,14'0'',14.0,534.45,5518.0,156.25
7/4/2023,7:00 AM,14'0'',14.0,534.45,5518.0,156.25
7/5/2023,7:00 AM,12'0'',12.0,533.84,3355.0,95.0
7/6/2023,7:00 AM,10'7'',10.58,533.41,2604.0,73.74
7/7/2023,7:00 AM,14'11'',14.92,534.73,6127.0,173.5
7/8/2023,7:00 AM,18'0'',18.0,535.67,9147.0,259.01
7/1/2023,8:00 AM,10'9'',10.75,533.46,2693.0,76.26
7/2/2023,8:00 AM,13'1'',13.08,534.17,4503.0,127.51
7/3/2023,8:00 AM,14'0'',14.0,534.45,5518.0,156.25
7/4/2023,8:00 AM,14'0'',14.0,534.45,5518.0,156.25
7/5/2023,8:00 AM,11'11'',11.92,533.82,3311.0,93.76
7/6/2023,8:00 AM,10'10'',10.83,533.49,2737.0,77.5
7/7/2023,8:00 AM,15'0'',15.0,534.76,6180.0,175.0
7/8/2023,8:00 AM,18'0'',18.0,535.67,9147.0,259.01
7/1/2023,9:00 AM,10'9'',10.75,533.46,2693.0,76.26
7/2/2023,9:00 AM,13'1'',13.08,534.17,4503.0,127.51
7/3/2023,9:00 AM,14'0'',14.0,534.45,5518.0,156.25
7/4/2023,9:00 AM,14'0'',14.0,534.45,5518.0,156.25
7/5/2023,9:00 AM,11'10'',11.83,533.79,3267.0,92.51
7/6/2023,9:00 AM,10'9'',10.75,533.46,2693.0,76.26
7/7/2023,9:00 AM,15'1'',15.08,534.78,6244.0,176.81
7/8/2023,9:00 AM,18'1'',18.08,535.7,9283.0,262.87
7/1/2023,10:00 AM,10'10'',10.83,533.49,2737.0,77.5
7/2/2023,10:00 AM,13'2'',13.17,534.2,4591.0,130.0
7/3/2023,10:00 AM,14'1'',14.08,534.48,5576.0,157.89
7/4/2023,10:00 AM,14'0'',14.0,534.45,5518.0,156.25
7/5/2023,10:00 AM,11'9'',11.75,533.77,3222.0,91.24
7/6/2023,10:00 AM,10'9'',10.75,533.46,2693.0,76.26
7/7/2023,10:00 AM,15'4'',15.33,534.8,6434.0,182.19
7/1/2023,11:00 AM,10'10'',10.83,533.49,2737.0,77.5
7/2/2023,11:00 AM,13'3'',13.25,534.22,4679.0,132.49
7/3/2023,11:00 AM,14'1'',14.08,534.48,5576.0,157.89
7/4/2023,11:00 AM,13'11'',13.92,534.43,5422.0,153.53
7/5/2023,11:00 AM,11'8'',11.67,533.74,3178.0,89.99
7/6/2023,11:00 AM,10'8'',10.67,533.43,2649.0,75.01
7/7/2023,11:00 AM,15'8'',15.67,534.96,6699.0,189.69
7/1/2023,12:00 PM,10'11'',10.92,533.51,2781.0,78.75
7/2/2023,12:00 PM,13'4'',13.33,534.25,4768.0,135.01
7/3/2023,12:00 PM,14'2'',14.17,534.5,5633.0,159.51
7/4/2023,12:00 PM,13'11'',13.92,534.43,5422.0,153.53
7/5/2023,12:00 PM,11'7'',11.58,533.71,3134.0,88.74
7/6/2023,12:00 PM,10'8'',10.67,533.43,2649.0,75.01
7/7/2023,12:00 PM,16'1'',16.08,535.09,7093.0,200.85
7/1/2023,1:00 PM,10'11'',10.92,533.51,2781.0,78.75
7/2/2023,1:00 PM,13'5'',13.42,534.27,4856.0,137.51
7/3/2023,1:00 PM,14'4'',14.33,534.55,5748.0,162.77
7/4/2023,1:00 PM,13'10'',13.83,534.4,5327.0,150.84
7/5/2023,1:00 PM,11'6'',11.5,533.69,3090.0,87.5
7/6/2023,1:00 PM,10'9'',10.75,533.46,2693.0,76.26
7/7/2023,1:00 PM,16'5'',16.42,535.19,7566.0,214.25
7/1/2023,2:00 PM,11'0'',11.0,533.54,2825.0,80.0
7/2/2023,2:00 PM,13'6'',13.5,534.3,4944.0,140.0
7/3/2023,2:00 PM,14'5'',14.42,534.58,5805.0,164.38
7/4/2023,2:00 PM,13'9'',13.75,534.38,5231.0,148.13
7/5/2023,2:00 PM,11'6'',11.5,533.69,3090.0,87.5
7/6/2023,2:00 PM,10'10'',10.83,533.49,2737.0,77.5
7/7/2023,2:00 PM,16'7'',16.58,535.24,7802.0,220.93
7/1/2023,3:00 PM,11'1'',11.08,533.56,2869.0,81.24
7/2/2023,3:00 PM,13'7'',13.58,534.32,5040.0,142.72
7/3/2023,3:00 PM,14'5'',14.42,534.58,5805.0,164.38
7/4/2023,3:00 PM,13'8'',13.67,534.35,5136.0,145.44
7/5/2023,3:00 PM,11'4'',11.33,533.64,3002.0,85.01
7/6/2023,3:00 PM,10'11'',10.92,533.51,2781.0,78.75
7/7/2023,3:00 PM,16'9'',16.75,535.29,8037.0,227.58
7/1/2023,4:00 PM,11'2'',11.17,533.59,2913.0,82.49
7/2/2023,4:00 PM,13'8'',13.67,534.35,5136.0,145.44
7/3/2023,4:00 PM,14'6'',14.5,534.6,5862.0,165.99
7/4/2023,4:00 PM,13'8'',13.67,534.35,5136.0,145.44
7/5/2023,4:00 PM,11'3'',11.25,533.61,2958.0,83.76
